bolum,metrik,deger,sira,title,puan_sayisi,ortalama_puan
Genel Istatistikler,Toplam Kullanici Sayisi,200947.0,,,,
Genel Istatistikler,Toplam Film Sayisi,13294.0,,,,
Genel Istatistikler,Toplam Puanlama Sayisi,31498689.0,,,,
En Cok Puanlanan 10 Film,,,1.0,"Shawshank Redemption, The (1994)",102929.0,
En Cok Puanlanan 10 Film,,,2.0,Forrest Gump (1994),100296.0,
En Cok Puanlanan 10 Film,,,3.0,Pulp Fiction (1994),98409.0,
En Cok Puanlanan 10 Film,,,4.0,"Matrix, The (1999)",93808.0,
En Cok Puanlanan 10 Film,,,5.0,"Silence of the Lambs, The (1991)",90330.0,
En Cok Puanlanan 10 Film,,,6.0,Fight Club (1999),77332.0,
En Cok Puanlanan 10 Film,,,7.0,Jurassic Park (1993),75233.0,
En Cok Puanlanan 10 Film,,,8.0,Schindler's List (1993),73849.0,
En Cok Puanlanan 10 Film,,,9.0,"Lord of the Rings: The Fellowship of the Ring, The (2001)",73122.0,
En Cok Puanlanan 10 Film,,,10.0,Star Wars: Episode V - The Empire Strikes Back (1980),72151.0,
En Yuksek Ortalama Puan,,,1.0,Planet Earth II (2016),1956.0,4.447
En Yuksek Ortalama Puan,,,2.0,Planet Earth (2006),2948.0,4.444
En Yuksek Ortalama Puan,,,3.0,Band of Brothers (2001),2811.0,4.427
En Yuksek Ortalama Puan,,,4.0,"Shawshank Redemption, The (1994)",102929.0,4.405
En Yuksek Ortalama Puan,,,5.0,Cosmos,615.0,4.33
En Yuksek Ortalama Puan,,,6.0,Parasite (2019),11670.0,4.312
En Yuksek Ortalama Puan,,,7.0,Blue Planet II (2017),1163.0,4.3
En Yuksek Ortalama Puan,,,8.0,Twin Peaks (1989),1140.0,4.299
En Yuksek Ortalama Puan,,,9.0,"Usual Suspects, The (1995)",67750.0,4.265
En Yuksek Ortalama Puan,,,10.0,Over the Garden Wall (2013),1397.0,4.264
